,original,predict,last_x,direction,diff,,,,
476,226.4,225.0892,226.53,TRUE,0.000%,1.3108,0.58%,,
477,227.21,225.45615,226.91,FALSE,-0.641%,1.75385,0.77%,,
478,226.46,225.94588,226.48,TRUE,0.000%,0.51412,0.23%,,
479,226.46,225.72514,226.36,FALSE,-0.280%,0.73486,0.32%,,
480,227.1,225.71738,226.5,FALSE,-0.346%,1.38262,0.61%,,
481,226.53,225.85002,226.73,TRUE,0.000%,0.67998,0.30%,,
482,227.05,225.2858,226.31,FALSE,-0.453%,1.7642,0.78%,,
483,226.25,225.15845,226.535,TRUE,0.000%,1.09155,0.48%,,
484,226.75,225.34538,226.84,TRUE,0.000%,1.40462,0.62%,,
485,225.91,224.95668,226.7,TRUE,0.000%,0.95332,0.42%,,
486,226.74,224.90561,226.35,FALSE,-0.638%,1.83439,0.81%,,
487,226.15,225.29941,226.4,TRUE,0.000%,0.85059,0.38%,,
488,227.6,226.84584,228.7,TRUE,0.000%,0.75416,0.33%,,
489,229.57,227.50854,229.4,FALSE,-0.825%,2.06146,0.90%,,
490,229.33,228.83719,229.42,TRUE,0.000%,0.49281,0.21%,,
491,228.97,227.73761,228.17,FALSE,-0.190%,1.23239,0.54%,,
492,227.55,227.11801,226.98,TRUE,0.000%,0.43199,0.19%,,
493,227.53,226.98013,228.255,TRUE,0.000%,0.54987,0.24%,,
494,227.62,226.23845,227.2,FALSE,-0.423%,1.38155,0.61%,,
495,227.77,227.1678,228.82,TRUE,0.000%,0.6022,0.26%,,
496,229.34,227.2739,228.87,FALSE,-0.697%,2.0661,0.90%,,
497,228.93,227.78055,229.38,TRUE,0.000%,1.14945,0.50%,,
498,228.94,227.69774,228.61,FALSE,-0.399%,1.24226,0.54%,,
499,229.24,228.42572,229.56,TRUE,0.000%,0.81428,0.35%,,
500,230.6,229.04541,231,TRUE,0.000%,1.55459,0.67%,,
501,231.51,230.04805,232.08,TRUE,0.000%,1.46195,0.63%,,
502,232.77,230.3703,232.56,FALSE,-0.942%,2.3997,1.03%,,
503,233.7,231.68138,233.45,FALSE,-0.758%,2.01862,0.86%,,
504,234.92,233.03313,234.96,TRUE,0.000%,1.88687,0.80%,,
505,234.72,232.98474,233.95,FALSE,-0.413%,1.73526,0.74%,,
506,235.09,233.77464,235.52,TRUE,0.000%,1.31536,0.56%,,
507,236.49,234.27315,236.02,FALSE,-0.740%,2.21685,0.94%,,
508,236.28,235.00302,236.88,TRUE,0.000%,1.27698,0.54%,,
509,236.44,234.26385,235.46,FALSE,-0.508%,2.17615,0.92%,,
510,236.74,235.15315,236.64,FALSE,-0.628%,1.58685,0.67%,,
511,237.11,235.44199,236.67,FALSE,-0.519%,1.66801,0.70%,,
512,236.47,236.6846,238.39,TRUE,0.000%,-0.2146,-0.09%,,
513,239.78,236.95264,239.56,FALSE,-1.088%,2.82736,1.18%,,
514,238.27,237.47708,238.17,FALSE,-0.291%,0.79292,0.33%,,
515,238.42,236.6193,237.5,FALSE,-0.371%,1.8007,0.76%,,
516,237.71,236.7505,237.36,FALSE,-0.257%,0.9595,0.40%,,
517,237,236.42065,237.34,TRUE,0.000%,0.57935,0.24%,,
518,236.56,235.96097,236.7,TRUE,0.000%,0.59903,0.25%,,
519,236.86,236.08228,237.97,TRUE,0.000%,0.77772,0.33%,,
520,237.69,236.29506,237.62,FALSE,-0.558%,1.39494,0.59%,,
521,237.81,236.33623,237.18,FALSE,-0.356%,1.47377,0.62%,,
522,236.9,236.7919,237.56,TRUE,0.000%,0.1081,0.05%,,
523,238.95,237.3365,239.11,TRUE,0.000%,1.6135,0.67%,,
524,238.48,237.3419,237.75,FALSE,-0.172%,1.1381,0.48%,,
525,237.03,236.95053,237.03,FALSE,-0.034%,0.07947,0.03%,,
526,236.77,236.41943,237.47,TRUE,0.000%,0.35057,0.15%,,
527,233.73,234.18082,233.77,FALSE,-0.176%,-0.45082,-0.19%,,
528,234.28,233.30605,234,FALSE,-0.297%,0.97395,0.42%,,
